iter	Passed	Remaining
776	2027	581
777	2030	579
778	2033	576
779	2035	574
780	2038	571
781	2041	569
782	2044	566
783	2046	563
784	2049	561
785	2051	558
786	2054	555
787	2056	553
788	2059	550
789	2062	548
790	2064	545
791	2066	542
792	2069	540
793	2071	537
794	2074	535
795	2077	532
796	2080	529
797	2082	527
798	2085	524
799	2087	521
800	2091	519
801	2093	516
802	2096	514
803	2099	511
804	2101	509
805	2104	506
806	2107	504
807	2109	501
808	2112	498
809	2114	495
810	2116	493
811	2119	490
812	2122	488
813	2125	485
814	2127	482
815	2129	480
816	2132	477
817	2134	475
818	2138	472
819	2141	470
820	2143	467
821	2146	464
822	2148	462
823	2151	459
824	2154	457
825	2156	454
826	2159	451
827	2161	449
828	2164	446
829	2166	443
830	2170	441
831	2172	438
832	2175	436
833	2177	433
834	2179	430
835	2182	428
836	2185	425
837	2188	423
838	2191	420
839	2194	417
840	2197	415
841	2200	412
842	2203	410
843	2205	407
844	2208	405
845	2211	402
846	2214	400
847	2218	397
848	2221	395
849	2224	392
850	2227	390
851	2230	387
852	2234	385
853	2236	382
854	2239	379
855	2241	377
856	2244	374
857	2247	371
858	2249	369
859	2252	366
860	2254	363
861	2256	361
862	2259	358
863	2261	356
864	2264	353
865	2267	350
866	2269	348
867	2272	345
868	2275	342
869	2277	340
870	2281	337
871	2283	335
872	2287	332
873	2290	330
874	2293	327
875	2296	325
876	2299	322
877	2302	319
878	2305	317
879	2307	314
880	2311	312
881	2313	309
882	2315	306
883	2318	304
884	2320	301
885	2322	298
886	2325	296
887	2328	293
888	2331	291
889	2334	288
890	2336	285
891	2339	283
892	2342	280
893	2344	278
894	2347	275
895	2349	272
896	2351	270
897	2353	267
898	2356	264
899	2358	262
900	2360	259
901	2362	256
902	2364	254
903	2367	251
904	2369	248
905	2372	246
906	2375	243
907	2378	240
908	2380	238
909	2383	235
910	2385	233
911	2388	230
912	2390	227
913	2393	225
914	2396	222
915	2398	219
916	2400	217
917	2403	214
918	2406	212
919	2409	209
920	2412	206
921	2414	204
922	2417	201
923	2420	199
924	2424	196
925	2429	194
926	2433	191
927	2437	189
928	2442	186
929	2447	184
930	2453	181
931	2457	179
932	2462	176
933	2467	174
934	2473	171
935	2477	169
936	2483	166
937	2488	164
938	2491	161
939	2495	159
940	2501	156
941	2505	154
942	2510	151
943	2515	149
944	2520	146
945	2524	144
946	2530	141
947	2534	139
948	2538	136
949	2543	133
950	2547	131
951	2551	128
952	2555	126
953	2561	123
954	2565	120
955	2569	118
956	2573	115
957	2578	113
958	2583	110
959	2588	107
960	2593	105
961	2599	102
962	2603	100
963	2609	97
964	2613	94
965	2617	92
966	2621	89
967	2628	86
968	2633	84
969	2639	81
970	2644	78
971	2649	76
972	2655	73
973	2658	70
974	2661	68
975	2666	65
976	2672	62
977	2678	60
978	2685	57
979	2692	54
980	2700	52
981	2706	49
982	2713	46
983	2720	44
984	2724	41
985	2728	38
986	2733	36
987	2738	33
988	2742	30
989	2746	27
990	2751	24
991	2755	22
992	2760	19
993	2766	16
994	2772	13
995	2779	11
996	2784	8
997	2790	5
998	2796	2
999	2802	0
