iter	Logloss
0	0.6810192108
1	0.6677238464
2	0.6556575012
3	0.6424789429
4	0.6295770645
5	0.6178370667
6	0.6074914551
7	0.5936974716
8	0.5844689941
9	0.574020462
10	0.5645479584
11	0.5532276535
12	0.5431175232
13	0.5318862915
14	0.521523819
15	0.514624176
16	0.5042510223
17	0.4953205109
18	0.4861983871
19	0.4774022675
20	0.4681613541
21	0.459933548
22	0.4516117096
23	0.4423890305
24	0.4334894562
25	0.4251203918
26	0.4187546539
27	0.4117525101
28	0.4038003922
29	0.3957965851
30	0.3878646851
31	0.3810832214
32	0.374591217
33	0.3667372513
34	0.3607881927
35	0.3536056137
36	0.3464242172
37	0.339199028
38	0.3341164398
39	0.3291751099
40	0.3225349426
41	0.3162945175
42	0.3105737305
43	0.3058683014
44	0.300856514
45	0.2947913933
46	0.2907110596
47	0.2856100273
48	0.2807737541
49	0.2769111633
50	0.2726156616
51	0.2689071655
52	0.2638356018
53	0.259642849
54	0.2558986092
55	0.2509736061
56	0.2464948654
57	0.242503643
58	0.2381147766
59	0.2347669601
60	0.2309430313
61	0.2279032135
62	0.2250170517
63	0.2223598099
64	0.2186254883
65	0.2149110031
66	0.2120077896
67	0.2093086624
68	0.2059685898
69	0.2035048294
70	0.2009908676
71	0.1979829788
72	0.1951523972
73	0.1923923683
74	0.1897861099
75	0.1869091797
76	0.1843824768
77	0.181772728
78	0.1792390442
79	0.1765378571
80	0.1743333817
81	0.1715188217
82	0.1686723328
83	0.1670516968
84	0.16518013
85	0.1628891182
86	0.1603501701
87	0.1577638245
88	0.1556655693
89	0.1536466408
90	0.1511499691
91	0.1494657707
92	0.1474030972
93	0.1453474045
94	0.1437371063
95	0.1417380047
96	0.1396273232
97	0.1377186012
98	0.1357646275
99	0.1340431976
100	0.132271347
101	0.1304272938
102	0.1291442871
103	0.1275590706
104	0.1261667252
105	0.1243313122
106	0.1224017525
107	0.120808754
108	0.1192228317
109	0.11779953
110	0.1162777615
111	0.1143397903
112	0.1130564022
113	0.1114788342
114	0.109861927
115	0.1085126686
116	0.1072085571
117	0.1055418587
118	0.104336586
119	0.102930088
120	0.1017994308
121	0.1003820324
122	0.09902898788
123	0.09776854515
124	0.09647070885
125	0.09538108826
126	0.09463224411
127	0.09342943192
128	0.09222086906
129	0.09129768372
130	0.09004781723
131	0.08900465012
132	0.08789047241
133	0.08672477722
134	0.08580886841
135	0.08483418465
136	0.08381917953
137	0.08272708893
138	0.08177751541
139	0.08109809875
140	0.08017537117
141	0.07954993725
142	0.07866656303
143	0.07788842201
144	0.07701924324
145	0.076095438
146	0.07527745247
147	0.07430042267
148	0.0735299921
149	0.0728474474
150	0.07200574875
151	0.07146871567
152	0.07078520775
153	0.0700348568
154	0.06944596291
155	0.06888021946
156	0.06817960739
157	0.06746723652
158	0.06674671173
159	0.06596407413
160	0.0653501749
161	0.06477907181
162	0.06398021698
163	0.06347877979
164	0.06296242237
165	0.06231555939
166	0.06169056892
167	0.06118611813
168	0.06070840836
169	0.06025447845
170	0.05978503227
171	0.05922765732
172	0.05868376255
173	0.05809828758
174	0.05744970322
175	0.05692041397
176	0.05643468857
177	0.05579566956
178	0.05528264046
179	0.05470668793
180	0.05419784546
181	0.05371584892
182	0.05323287964
183	0.05268212318
184	0.05220141411
185	0.05180007935
186	0.05132343769
187	0.05080014229
188	0.0503931427
